file_index,class
78942502,0
72473767,0
72306150,1
79367589,0
76954750,0
79193540,0
70563942,1
73088955,0
71260080,0
77467597,0
73029556,0
74939922,0
70566487,0
72177356,1
76862750,0
78126885,0
73619219,1
75061110,1
79793732,0
70070242,1
72441097,0
76973296,1
72722867,0
78749745,1
78968496,1
75731194,0
76102039,0
74118460,1
79204262,0
79641816,0
79493430,0
71389581,1
71450381,0
78203987,0
71801587,1
76950703,0
75869877,0
70102740,1
78455539,0
75152199,0
75147452,0
70517733,0
75247488,0
70887562,1
71351163,1
70995766,0
77843279,0
79846760,0
77110790,0
75140372,0
77355848,1
70288812,0
77513741,0
78254113,0
78824745,0
72565733,1
70644789,1
75275546,1
79416473,0
75407878,0
74477562,0
78235074,0
77652840,0
73345461,0
76114126,0
73993408,0
79780926,0
75773965,0
75034107,1
70620269,0
75170767,1
70232167,0
78927595,0
77180592,1
76475211,1
78568950,1
73364708,1
76822638,0
73345628,1
74376828,0
73543739,1
75740149,0
76196047,0
77603153,0
70135679,1
70536008,0
72569137,1
79289463,0
79353203,0
79293780,1
79805772,1
70117441,1
70667892,1
79501505,1
73037378,0
77958184,1
78343890,0
78925025,1
79532784,0
77644466,0
76844346,0
73076311,0
75120041,0
77290148,0
77727390,0
70014532,1
70303322,0
76508753,1
75541350,0
74748887,1
73745077,0
79502784,1
74210381,1
71197521,0
79165361,1
74268432,0
77760129,0
79120611,0
79155227,1
78202823,1
74100298,0
74993566,0
70081216,0
70902914,1
76633554,1
71686636,1
73728389,0
72365117,0
71712009,0
78495127,0
78759113,1
71584736,0
78722662,0
70916639,1
70147310,0
77493592,0
70076792,0
79337546,0
70643128,0
70122325,0
70672762,0
76527606,0
73494395,0
78125526,0
78341326,0
77970187,0
79665533,1
76705650,0
74402839,1
75718107,0
74030858,0
79631232,0
79762102,0
79905540,0
74993547,0
75809567,0
77945397,0
75463268,1
79605661,0
73138458,0
73449857,0
77268160,1
75384352,1
71209861,0
70179810,1
77712678,0
76771211,1
75720317,0
75432562,0
72346997,0
73199155,0
75643148,0
74402016,0
75791662,0
71057210,1
70884309,1
78203321,0
74337522,0
79153985,0
70655632,0
76416319,0
74322871,0
78069082,0
73953723,0
79977891,0
76147698,1
72609532,0
74529561,1
72310329,1
77576035,0
75277117,1
73257252,0
75378926,0
78602553,0
77004699,1
76649585,0
76900864,0
77326100,1
70343024,1
79573899,0
70669838,0
75850706,0
76604068,0
71895853,1
77302453,0
71343220,0
72908476,0
79122042,0
79493385,1
74841713,0
74009476,0
73073196,1
79890941,1
77797363,0
70738350,0
72758943,0
73988993,0
77186449,1
71549512,1
74954567,0
78751422,0
73171937,0
72365515,1
79725622,0
78252204,1
74773295,1
71232594,0
72926180,0
72372862,1
77303941,0
70145863,1
76692651,1
77787396,0
71442157,1
72463098,0
78953559,1
77243726,0
79325597,0
79982298,0
76871826,0
73420118,0
78605437,1
71536823,0
79288417,0
77095952,1
79728095,0
71689793,0
70918181,1
74749440,0
75959844,0
77162244,1
74120820,0
79561699,0
71303652,0
77091326,0
75156930,0
79978268,1
71310773,1
75416205,0
74290000,0
76087276,0
73066460,1
70282163,0
73839336,0
77676782,0
70873635,1
78252494,1
78713696,0
78469627,0
77400657,1
77705904,0
79612386,0
70172546,0
71090479,0
71990167,0
70007765,1
74132004,0
74076771,1
74474669,0
77323428,0
74950938,1
79551747,0
76253061,1
76322552,0
75002606,0
74564352,0
78359342,0
79880588,1
77690938,0
70104824,0
72550032,1
76765277,0
71615464,1
79709467,0
75266290,1
70743154,1
70430311,1
73570383,0
79082462,0
74393743,0
76321194,1
72014774,0
70657345,0
79239753,0
78630720,0
76218189,1
79744126,0
77367253,0
71349882,1
76893988,0
78238806,1
72175938,0
75908429,1
76355289,0
78749069,1
77810433,0
73884753,0
77835689,0
75792749,0
75029067,0
74179605,0
73906461,0
74407545,0
72725798,1
75199523,1
79830636,0
79942970,0
71830579,0
71461599,0
79181626,1
76786263,0
77772586,0
74018407,1
74956262,1
76915119,0
72054453,0
73245977,0
71416017,0
79991111,0
70709595,1
71720388,0
77541419,0
72906468,0
72013388,0
72922405,0
77782957,1
79628359,0
75296034,0
77489289,1
71063155,0
75203460,0
75218077,0
77711298,0
71092009,1
78431945,0
78221599,0
76491078,0
76103805,1
72129253,0
71619498,0
73564303,0
73001746,1
71765217,0
77487875,0
76520267,0
79652587,1
71113774,0
79094136,1
75897377,0
71346792,0
73990743,0
72795093,0
72450804,1
73554049,1
75437683,1
76816875,0
75334499,1
76718315,0
76068221,0
77980902,0
78496207,1
76183511,0
75590048,1
75492160,0
71125132,0
77358829,0
73720934,1
70468670,0
76782111,0
75380067,0
71119715,1
74439484,1
78454721,1
79464179,0
78471903,0
79962376,1
71234210,0
70976033,0
74776907,0
76427308,0
70347010,0
72300887,1
74226499,1
78391708,1
77083696,1
74096519,0
79045314,1
77245072,1
77627911,0
75724651,0
79998230,0
71761856,0
70831918,0
77350646,1
70015236,0
76173806,0
73302259,1
75969785,0
75208055,0
70154255,0
74570054,0
78909733,0
75035261,0
77401438,1
70679979,0
70724692,1
72799531,0
73161281,0
79784372,0
75014544,1
73884391,0
76496361,1
72619733,0
70301983,0
73014918,1
78131332,1
77369587,1
78997069,1
77253714,0
76852808,0
76336055,1
77857607,0
73965496,1
76881014,1
76672876,1
73076766,1
75956242,0
72972284,0
79411866,1
74691612,0
78649320,0
72243797,1
75076669,0
79706727,0
78335778,0
72459945,0
72575023,0
75671325,0
79378324,0
76456395,1
73034828,0
75533362,0
76753938,1
77924181,1
76705682,1
79966199,0
72442352,1
72878744,1
75924793,1
76980580,1
74348172,0
72335184,1
79959403,0
76054502,0
70092069,1
71578892,0
71117856,1
76358371,0
79964805,1
78492418,0
75129726,0
77353591,0
72479806,0
